име,град,congruence-score,congruence-verdict,congruence-max-time,range-score,range-verdict,range-max-time,strip-score,strip-verdict,strip-max-time,точки
YBE,Плевен,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,75.0,TL OK OK OK OK OK OK OK TL OK TL OK,N/A,5.555555555555555,WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,162.90849673202612
RLC,Пловдив,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,148.36601307189545
VLP,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,8.333333333333334,OK WA WA WA WA WA WA WA WA WA WA WA,0.044,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,145.91503267973857
HDS,Шумен,11.764705882352942,OK OK WA WA WA WA RE RE TL TL TL TL TL TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,142.3202614379085
GTK,Пловдив,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,0.0,TL WA WA WA WA WA WA WA TL WA WA WA,N/A,61.11111111111112,OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL OK TL,N/A,137.58169934640523
EP,София,17.647058823529413,OK OK WA WA WA WA WA WA WA WA WA OK WA WA TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,11.11111111111111,WA WA WA OK OK WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,120.42483660130719
BIK,Габрово,64.70588235294119,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL,N/A,16.666666666666668,OK OK TL TL TL TL TL TL TL TL TL TL,N/A,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.004,120.26143790849676
ISA,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.284,38.88888888888889,OK WA WA OK OK WA OK WA OK WA WA OK WA WA WA WA OK WA,0.008,115.359477124183
NDD,София,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK WA WA TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.289,44.44444444444445,OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA,0.004,115.03267973856211
DYS,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,91.66666666666666,OK OK OK OK OK OK OK OK TL OK OK OK,N/A,11.11111111111111,WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,102.77777777777777
MPM,Стара Загора,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,0.0,WA WA WA WA TL WA RE RE RE RE RE RE,N/A,22.22222222222222,OK OK WA OK OK WA WA WA RE WA WA RE RE WA WA RE RE RE,N/A,98.69281045751634
GKK,Бургас,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,8.333333333333334,OK WA WA TL TL TL TL TL TL TL TL TL,N/A,11.11111111111111,RE RE RE OK OK RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,95.91503267973856
