име,град,alt-score,alt-verdict,alt-max-time,m3-score,m3-verdict,m3-max-time,power-score,power-verdict,power-max-time,точки
AAY,Варна,53.84615384615385,OK OK OK OK OK OK OK WA WA WA WA RE WA,N/A,58.88888888888896,OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK OK OK WA WA WA OK WA WA WA WA WA WA WA OK OK OK WA OK WA WA OK OK WA WA WA WA WA OK,0.005,5.2631578947368425,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,117.99820062977966
VBM,София,15.384615384615385,WA OK OK TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,115.38461538461544
FAA,Хасково,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,92.22222222222238,WA OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK WA OK,0.006,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,115.29914529914547
DDT,Благоевград,46.15384615384615,OK OK OK OK OK OK WA WA WA WA WA WA WA,0.005,57.77777777777784,WA WA WA WA OK OK WA WA OK OK OK OK OK OK OK OK OK OK WA WA OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK OK OK OK WA OK WA WA OK OK OK OK OK WA OK WA WA WA WA WA WA WA WA OK OK WA OK OK OK WA OK WA OK OK OK OK WA OK WA WA OK OK OK WA OK OK OK WA OK OK WA WA WA WA OK,0.006,10.526315789473685,OK OK TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL TL TL,N/A,114.45793972109767
SIS,Шумен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,100.0
YBE,Плевен,7.6923076923076925,WA OK WA WA WA WA WA WA WA WA WA WA WA,0.005,91.11111111111127,OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK WA OK,0.005,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,98.80341880341896
KNA,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,94.44444444444461,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0,Compilation error,N/A,94.44444444444461
MEI,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,75.55555555555567,WA WA OK OK OK OK WA OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK WA WA OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK WA OK OK OK OK OK WA WA WA OK WA WA OK OK OK WA OK OK WA OK OK OK WA OK OK OK WA WA,0.005,5.2631578947368425,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA RE RE,N/A,80.8187134502925
YRS,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,62.2222222222223,OK WA OK WA OK OK WA OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA WA WA WA WA WA OK OK OK OK WA WA OK OK OK WA WA WA OK OK WA WA WA OK OK OK OK WA OK OK OK OK OK WA WA WA OK OK WA OK OK WA OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK WA WA OK OK WA OK OK WA WA,0.005,15.789473684210527,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA OK,0.006,78.01169590643283
AIP,Русе,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,21.111111111111107,OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,26.315789473684212,OK WA WA OK WA WA OK OK WA WA OK WA WA WA WA WA WA WA WA,0.006,70.5038236617184
OBA,Варна,23.076923076923077,OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,47.36842105263158,OK WA WA OK WA WA OK OK WA WA OK WA OK WA WA OK OK WA OK,0.005,70.44534412955466
FSK,Ямбол,0,Compilation error,N/A,68.88888888888899,OK WA OK OK WA WA OK WA OK OK OK OK OK OK OK WA OK OK WA WA OK WA OK OK WA OK OK OK OK OK WA WA OK OK OK OK OK OK WA WA WA WA OK WA OK OK OK WA WA OK OK WA WA WA WA OK OK OK WA OK WA OK OK OK OK OK WA OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA TL TL WA TL TL TL TL TL TL TL TL,N/A,68.88888888888899
HMI,Бургас,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,52.22222222222227,WA WA OK WA OK OK WA OK OK OK OK OK OK OK OK OK WA WA OK OK WA WA WA OK OK WA OK OK OK WA WA OK OK OK WA WA OK OK OK WA WA OK OK OK WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA OK OK WA OK WA WA WA OK OK OK OK WA OK OK OK OK OK OK WA OK OK WA WA OK OK WA WA WA WA WA,0.006,10.526315789473685,OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,62.748538011695956
MII,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,31.111111111111104,OK OK WA OK OK OK OK OK OK WA WA WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA OK OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA OK OK WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA OK,0.005,31.578947368421055,OK OK OK WA OK OK OK WA WA WA WA WA WA TL TL WA WA TL WA,N/A,62.690058479532155
MPM,Стара Загора,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,33.33333333333333,WA WA WA WA OK WA WA OK OK WA OK OK WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA OK OK OK WA WA WA OK OK OK WA WA OK OK OK WA WA WA OK OK WA WA WA WA OK OK WA WA WA WA WA OK OK WA OK WA WA OK WA WA OK OK WA WA OK WA OK WA WA WA WA WA WA WA OK OK WA OK WA WA WA,0.005,21.05263157894737,OK OK TL WA OK OK TL TL TL TL WA WA WA TL TL TL WA TL WA,N/A,54.3859649122807
GND,Варна,0,Compilation error,N/A,40.000000000000014,WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK OK OK OK WA WA WA WA WA WA WA OK OK WA WA OK OK OK WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA OK WA WA WA OK OK OK OK WA WA OK OK OK OK OK WA OK OK WA WA OK OK WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.011,40.000000000000014
SIS,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,22.222222222222218,WA WA WA WA OK OK OK OK WA WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,10.526315789473685,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,32.7485380116959
