име,град,long-score,long-verdict,long-max-time,sdnf-score,sdnf-verdict,sdnf-max-time,solitaire-score,solitaire-verdict,solitaire-max-time,точки
FSK,Ямбол,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,57.27272727272727
BCS,Шумен,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.008,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,57.27272727272727
BDD,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,57.27272727272727
EBD,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.002,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,57.27272727272727
MVK,Пловдив,36.36363636363637,OK OK OK OK WA WA WA WA WA WA WA,0.005,20.0,OK OK OK OK WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,0.0,RE RE TL RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,56.36363636363637
GND,Варна,27.272727272727273,OK OK OK WA RE RE RE RE RE RE RE,N/A,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,12.5,OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,54.77272727272727
NDD,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,12.5,OK WA WA WA WA WA WA WA WA WA WA OK WA WA RE WA,N/A,54.77272727272727
PDI,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,25.0,OK OK OK OK OK WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,52.27272727272727
DNN,Стара Загора,18.181818181818183,OK OK TL WA WA WA WA WA WA WA WA,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.022,48.18181818181819
PSS,София,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,20.0,WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL RE TL TL,N/A,47.27272727272727
