име,град,beautiful-score,beautiful-verdict,beautiful-max-time,flowers-score,flowers-verdict,flowers-max-time,sheep-score,sheep-verdict,sheep-max-time,точки
VNA,София,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,195.0
SDV,София,95.0,WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,195.0
SSI,Благоевград,85.0,OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK WA OK OK OK,0.112,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,185.0
NOP,Варна,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.109,90.0,WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA RE WA WA RE WA WA WA WA WA,N/A,185.0
VNM,Варна,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,80.0,OK OK OK OK OK OK OK OK WA OK OK OK WA OK OK OK OK WA OK WA,0.147,180.0
DVN,Благоевград,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,170.0
BLL,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,0,Compilation error,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK OK,N/A,165.0
KKD,София,60.0,OK OK WA WA OK WA OK OK OK OK OK WA WA OK WA OK OK WA WA OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.366,160.0
LIT,София,60.0,OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK WA OK WA WA,0.045,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,0,Compilation error,N/A,160.0
BHM,София,55.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,155.0
BSK,Варна,85.0,WA OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK TL OK OK OK,N/A,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,155.0
DJD,Велико Търново,50.0,OK OK OK OK WA OK OK OK WA OK WA WA WA WA WA OK WA OK WA WA,0.045,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,0.0,WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE RE RE WA RE,N/A,150.0
KPS,София,40.0,OK OK TL TL OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA RE RE WA RE WA WA RE WA WA WA RE RE RE WA RE WA RE,N/A,140.0
TPD,Благоевград,65.0,OK OK OK OK OK OK OK OK WA OK OK WA WA WA WA WA WA OK OK OK,0.108,75.0,OK OK OK OK OK OK OK OK RE RE RE OK OK OK OK OK OK OK RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.028,140.0
LBI,София,40.0,OK OK WA WA OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA,0.016,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,0,Compilation error,N/A,140.0
KKB,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,35.0,OK OK OK WA WA WA WA OK WA WA OK WA WA OK OK WA WA WA WA WA,0.005,0.0,RE RE RE RE WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,135.0
ZSI,София,35.0,OK OK TL TL OK OK OK OK WA OK WA WA WA WA WA TL WA TL WA WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.054,0,Compilation error,N/A,135.0
NVG,Варна,60.0,OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK WA OK WA WA,0.119,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.003,0.0,RE RE RE RE RE RE RE RE RE TL RE TL RE RE TL RE RE TL RE TL,N/A,130.0
DDA,Варна,50.0,WA OK OK OK OK OK OK OK WA OK WA WA WA WA WA OK WA OK WA WA,0.045,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.005,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,125.0
IKV,София,55.0,OK OK OK OK OK OK OK OK WA OK WA WA WA WA WA OK WA OK WA WA,0.005,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.006,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.274,125.0
AKAI,София,45.0,OK OK TL TL OK OK OK OK OK OK WA WA WA WA WA OK WA WA WA WA,N/A,60.0,WA OK OK OK OK OK OK OK OK WA OK WA OK OK OK WA WA WA WA WA,0.008,0,Compilation error,N/A,105.0
EKM,София,5.0,WA WA TL TL WA TL WA WA OK WA TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,105.0
KTV,Русе,55.0,OK OK OK OK OK OK OK OK WA OK WA WA WA WA WA OK WA OK WA WA,0.05,50.0,OK OK OK WA WA WA OK OK WA WA OK WA OK OK OK WA OK WA WA WA,0.004,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,105.0
KAA,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.008,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0
NVM,Варна,30.0,WA OK TL TL OK OK OK OK WA OK TL TL TL TL TL TL TL TL TL TL,N/A,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.005,0.0,WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0
TBA,София,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,0,Compilation error,N/A,100.0
BIG,София,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,100.0
AAK,София,90.0,WA OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK,0.114,10.0,WA WA WA WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA,0.176,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,100.0
