име,град,beatle-score,beatle-verdict,beatle-max-time,composites-score,composites-verdict,composites-max-time,trams-score,trams-verdict,trams-max-time,точки
GKI,Кюстендил,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
MRG,Бургас,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
GAH,Ловеч,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.088,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.052,0.0
SPT,София,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
GBH,Габрово,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
NNI,Шумен,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0,TL WA TL TL TL TL WA TL TL TL RE TL TL TL TL RE RE TL RE RE,N/A,0.0
EDD,София,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA TL TL WA WA WA TL TL TL TL WA TL TL TL TL TL TL TL,N/A,0.0
BII,Плевен,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
GCN,Ловеч,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
ETS,Шумен,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE,N/A,0.0
HKH,Варна,0.0,WA WA WA WA WA WA TL TL WA TL TL TL TL TL WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL RE RE RE RE RE,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0.0
VBI,Смолян,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0
AGA,Плевен,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0.0
BNN,Пловдив,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
HHT,Велико Търново,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,0.0
