име,град,eksk-score,eksk-verdict,eksk-max-time,estet-score,estet-verdict,estet-max-time,restruct-score,restruct-verdict,restruct-max-time,точки
DNN,Варна,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
NYH,Враца,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.035,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.016,0.0
SMM1,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
MPA,Варна,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.045,0,Compilation error,N/A,0.0
EBH,Шумен,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,0.0
KIG,Благоевград,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
BNV,София,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
MMM,Велико Търново,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
DDM,Враца,0,Compilation error,N/A,0.0,WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0,Compilation error,N/A,0.0
DRR,София,0.0,RE RE WA RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE TL TL RE RE RE RE RE TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.042,0,Compilation error,N/A,0.0
TKK,София,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
