име,град,corridor-score,corridor-verdict,corridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,точки
ZBB,София,32.5,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE,N/A,60.0,OK OK OK OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL,N/A,20.0,OK OK WA OK OK WA WA WA WA WA WA WA WA OK TL WA WA WA WA WA WA WA WA WA WA,N/A,112.5
HHT,Велико Търново,0,Compilation error,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.116,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,100.0
TTT,Варна,17.5,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.586,76.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA WA WA WA WA,0.036,98.5
ARR,Стара Загора,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.133,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.143,0,Compilation error,N/A,95.0
LBS,Бургас,35.0,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,91.0
GGA,София,52.5,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK OK RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.043,36.0,OK OK WA OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.653,88.5
VKK,Бургас,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.133,50.0,OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL WA TL TL TL TL TL TL TL TL TL,N/A,87.5
AEG,София,0,Compilation error,N/A,85.0,OK OK OK OK OK OK OK OK OK OK OK OK WA TL OK OK OK OK TL OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,85.0
SCC,София,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.166,76.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA WA WA WA WA,0.016,76.0
BPA,София,20.0,OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL RE RE RE RE,N/A,52.0,OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL OK OK TL TL TL TL TL TL TL TL,N/A,72.0
NMM,Варна,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,0.0,TL TL TL TL TL TL TL TL TL TL WA TL WA TL TL TL TL TL TL TL,N/A,72.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK TL OK OK OK OK OK WA WA WA WA WA,N/A,72.0
BKM,София,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA TL TL TL,N/A,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,61.0
KCS,Русе,27.5,OK OK OK OK OK OK OK OK WA OK OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.073,0,Compilation error,N/A,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.006,43.5
ILC,Варна,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,0,Compilation error,N/A,0,Compilation error,N/A,37.5
MND,Варна,0,Compilation error,N/A,0,Compilation error,N/A,32.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.173,32.0
NKN,Варна,0,Compilation error,N/A,10.0,WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.083,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.006,30.0
