name,city,korridor-score,korridor-verdict,korridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,score
MND,Varna,0,Compilation error,N/A,0,Compilation error,N/A,32.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.133,32.0
NKN,Varna,0,Compilation error,N/A,10.0,WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,20.0,OK OK OK OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.006,30.0
KCS,Ruse,0,Compilation error,N/A,0,Compilation error,N/A,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.006,16.0
GVR,Pleven,0,Compilation error,N/A,0,Compilation error,N/A,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.406,16.0
NIY,Sofia,0,Compilation error,N/A,0,Compilation error,N/A,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.753,16.0
HMT,Plovdiv,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.029,16.0,OK OK WA OK WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.013,16.0
IJG,Pleven,0,Compilation error,N/A,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.333,8.0,WA WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA,0.009,13.0
GAH,Lovech,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL,N/A,12.0,OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.526,12.0
AAM,Plovdiv,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,12.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.216,12.0
TTP,Lovech,0,Compilation error,N/A,0,Compilation error,N/A,8.0,OK WA WA WA WA WA WA WA WA WA WA WA WA OK TL WA WA WA WA WA WA WA WA WA WA,N/A,8.0
BMM,Pleven,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,4.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.289,4.0
IAK,VTarnovo,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,4.0,WA OK WA WA WA WA WA WA WA WA WA TL TL TL TL WA WA TL WA WA TL TL TL TL TL,N/A,4.0
YGD,Shumen,0,Compilation error,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,4.0,WA WA WA WA WA WA OK WA WA WA WA TL TL WA TL WA WA TL TL TL TL TL TL TL TL,N/A,4.0
