name,city,number-score,number-verdict,number-max-time,sdiv-score,sdiv-verdict,sdiv-max-time,stories-score,stories-verdict,stories-max-time,score
EDG,Shumen,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.163,80.0,OK OK OK OK OK OK OK OK OK WA WA WA OK OK OK OK OK OK OK WA,0.229,80.0
VIS,Pleven,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,75.0
ASC,VTarnovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,65.0
TMH,Varna,10.0,WA WA WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,55.0,OK OK OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL,N/A,65.0
DND,Burgas,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,25.0,WA WA WA WA WA WA WA OK OK WA WA WA WA WA WA OK WA OK OK WA,0.156,55.0
KMK,Vraca,0.0,TL TL TL TL TL TL TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0,Compilation error,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.0
GPP,Sofia,0.0,WA WA WA TL TL WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,50.0
MDD,Samokov,0.0,WA WA WA TL TL WA TL TL WA WA WA WA WA WA WA TL TL WA WA WA,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK TL OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,45.0
PMT,Sofia,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,15.0,TL OK TL OK TL TL TL OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,45.0
NEK,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,45.0,OK OK OK OK OK OK OK OK TL OK TL TL TL TL TL TL TL TL TL TL,N/A,45.0
GDG,Gabrovo,15.0,WA WA OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.333333333333332,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,5.0,TL OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,43.33333333333333
AKM,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,40.0,OK OK OK OK OK OK TL OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,40.0
GMM,StaraZagora,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,30.0,OK OK OK OK TL TL TL OK TL OK TL TL TL TL TL TL TL TL WA TL,N/A,30.0
DKV,Pleven,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.123,30.0
