name,city,cards-score,cards-verdict,cards-max-time,game-score,game-verdict,game-max-time,palindromes-score,palindromes-verdict,palindromes-max-time,score
KYK,Varna,25.0,WA OK OK WA WA OK WA WA WA WA WA WA OK WA WA OK WA WA WA WA,0.113,8.0,WA WA WA WA WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,33.0
VGN,Varna,20.0,OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.106,12.0,WA WA WA WA WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,32.0
MSK,Yambol,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL,N/A,12.0,WA WA WA WA WA WA WA OK WA OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0,OK WA WA WA WA WA WA TL TL TL WA TL WA WA WA WA WA WA WA WA,N/A,27.0
VDC,Shumen,15.0,WA OK OK WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.113,8.0,WA OK WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA OK WA TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,23.0
SNP,Plovdiv,20.0,OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.103,0,Compilation error,N/A,0,Compilation error,N/A,20.0
MVK,Sofia,20.0,OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.109,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0
RKP,Sofia,20.0,OK OK OK WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.113,0,Compilation error,N/A,0,Compilation error,N/A,20.0
BKK,Varna,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.106,0,Compilation error,N/A,15.0,OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,20.0
KKK,Sofia,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.113,4.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,19.0
EBD,Sofia,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL,N/A,8.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK,0.003,0,Compilation error,N/A,18.0
